type of place of residence,source of drinking water,time to get to water source,type of toilet facility,toilet facilities shared with other households,household has: electricity,household has: radio,household has: television,main floor material,main wall material,main roof material,type of cooking fuel,use of internet,frequency of listening to radio,frequency of watching television,frequency of reading newspaper or magazine
2,14,10,22,0.0,0,0,0,11,23,33,8,0,1,0,0
2,97,997,97,7.0,7,7,7,97,97,97,97,0,0,0,0
2,31,20,22,0.0,1,0,0,11,23,33,8,0,0,0,0
2,41,60,22,0.0,0,0,0,11,23,33,8,0,1,0,0
2,42,60,22,0.0,0,0,0,11,22,33,9,0,1,1,0
2,42,60,22,0.0,0,0,0,11,22,33,9,0,2,2,1
2,42,60,22,0.0,0,0,0,11,22,33,9,0,1,0,1
2,14,40,22,0.0,1,1,1,34,36,33,8,0,2,1,0
2,14,40,22,0.0,1,1,1,34,36,33,8,0,0,2,0
2,14,40,22,0.0,1,1,1,34,36,33,8,0,2,1,2
2,41,30,23,0.0,0,1,0,11,23,33,8,0,0,0,0
2,41,10,23,0.0,0,0,0,11,23,33,8,0,2,0,0
2,41,60,22,0.0,1,1,0,11,23,33,8,0,2,0,0
2,41,60,22,0.0,1,1,0,11,23,33,8,0,2,0,0
2,31,20,22,0.0,1,0,0,11,36,33,9,0,1,0,0
2,42,70,22,0.0,1,1,0,11,23,33,8,0,2,0,0
1,41,55,22,0.0,0,0,0,11,23,31,9,0,1,0,0
1,12,996,22,0.0,1,1,1,34,36,31,2,1,2,2,1
1,14,10,22,0.0,1,0,0,11,36,31,8,0,2,0,0
1,12,996,23,0.0,0,1,0,11,23,31,8,0,2,0,0
1,12,996,23,0.0,0,0,0,11,23,31,8,0,2,0,0
1,12,996,22,0.0,1,1,1,34,36,31,8,0,2,2,0
1,12,996,22,0.0,1,1,0,34,36,31,8,0,2,0,0
1,12,996,22,0.0,1,1,0,34,36,31,8,0,2,0,0
1,14,10,22,0.0,1,0,0,34,32,31,8,0,0,0,0
1,13,996,31,,1,1,0,11,36,31,7,0,2,0,0
1,12,996,22,0.0,0,1,0,11,23,31,9,0,2,0,0
2,43,120,22,0.0,0,0,0,11,21,31,8,0,2,0,1
2,43,120,22,0.0,0,0,0,11,21,31,8,0,2,0,2
2,43,30,22,0.0,0,1,0,34,36,31,8,0,2,1,2
2,62,40,22,0.0,0,1,0,11,36,31,8,1,2,1,1
2,43,20,22,0.0,0,0,0,11,23,31,8,0,2,2,0
2,43,120,23,0.0,0,1,1,11,21,31,8,0,0,0,0
2,43,120,23,0.0,0,1,1,11,21,31,8,0,2,2,1
2,43,20,22,0.0,0,1,0,11,23,31,9,0,2,1,1
2,43,20,22,0.0,0,1,0,11,23,31,9,0,2,1,1
2,43,30,23,0.0,0,0,0,11,23,31,8,0,2,2,0
2,31,120,22,0.0,0,1,1,34,36,31,8,0,2,0,0
2,21,60,23,0.0,0,0,0,11,21,31,9,0,1,1,0
2,43,20,22,0.0,0,0,0,11,23,31,9,0,1,1,0
2,31,120,23,0.0,0,1,0,11,23,31,8,0,2,0,0
2,31,120,23,0.0,0,1,0,11,23,31,8,0,2,0,0
2,43,60,23,0.0,0,0,0,11,21,31,8,0,1,0,0
2,43,25,22,0.0,0,0,0,11,21,31,8,0,1,1,1
2,43,40,23,0.0,0,0,0,11,21,31,8,0,1,1,0
2,43,30,23,0.0,0,0,0,11,21,31,8,0,1,0,0
2,43,10,31,,0,0,0,11,21,31,8,0,0,0,0
2,43,15,22,0.0,0,0,0,11,21,31,8,0,2,1,0
2,43,120,23,0.0,0,0,0,11,21,31,8,0,1,0,0
2,43,120,23,0.0,0,0,0,11,21,31,8,0,1,0,0
2,43,120,23,0.0,0,0,0,11,21,31,8,0,1,0,0
2,43,10,23,0.0,0,0,0,11,21,31,8,0,2,1,0
2,43,20,23,0.0,0,0,0,11,21,31,8,0,0,0,0
2,43,10,23,0.0,0,1,0,11,21,31,8,0,0,0,0
2,43,10,23,0.0,0,1,0,11,21,31,8,0,2,0,0
2,43,10,23,0.0,0,0,0,11,21,31,8,0,0,0,0
2,43,10,23,0.0,0,0,0,11,21,31,8,0,0,1,0
1,12,996,22,1.0,1,0,0,34,36,31,8,1,1,0,1
1,12,996,22,1.0,1,0,0,34,36,31,8,1,1,2,2
1,71,996,11,0.0,1,1,1,33,35,31,7,1,2,2,1
1,12,996,22,0.0,1,0,0,34,36,31,7,0,1,1,0
1,71,996,11,0.0,1,0,1,33,35,31,2,1,1,2,2
1,71,40,22,1.0,1,1,1,34,36,31,7,1,2,2,0
1,71,40,22,1.0,1,1,1,34,36,31,7,0,2,2,0
1,13,996,22,1.0,1,0,0,34,36,31,7,0,2,1,0
1,12,996,22,1.0,1,0,1,34,36,31,7,1,1,2,0
1,12,996,22,1.0,1,0,1,34,36,31,7,2,2,2,0
1,41,30,22,1.0,1,0,0,34,36,31,7,0,0,0,1
1,71,996,12,0.0,1,1,1,33,36,31,2,1,2,2,0
1,12,996,22,1.0,1,1,1,34,36,31,7,1,2,2,1
1,41,30,22,1.0,1,1,1,34,36,31,7,0,2,2,1
1,41,30,22,1.0,1,1,1,34,36,31,7,0,2,2,1
1,12,996,22,1.0,1,1,1,34,36,31,7,1,2,2,1
1,41,30,22,1.0,1,0,0,11,36,31,7,0,2,0,0
1,14,30,22,1.0,1,0,0,34,36,31,7,0,2,2,1
1,14,30,22,1.0,1,0,0,34,36,31,7,1,2,2,2
1,14,25,22,1.0,1,1,1,34,36,31,7,1,2,2,0
1,12,996,13,0.0,1,1,1,34,36,31,7,0,2,2,0
1,12,996,13,0.0,1,1,1,34,36,31,7,1,2,2,2
1,12,996,13,0.0,1,1,1,34,36,31,7,1,2,2,2
1,12,996,13,0.0,1,1,1,34,36,31,7,1,2,2,2
1,12,996,14,0.0,1,0,1,33,34,31,2,1,2,2,2
1,12,996,14,0.0,1,0,1,33,34,31,2,0,2,2,1
2,41,60,23,0.0,0,0,0,11,24,33,8,0,0,0,0
2,41,20,22,0.0,0,0,0,11,21,33,9,0,2,1,1
2,41,60,31,,1,1,0,11,21,31,8,0,2,1,0
2,41,60,22,1.0,0,0,0,11,21,33,8,0,1,1,0
2,41,90,21,0.0,0,0,0,11,21,33,8,0,1,1,1
2,41,15,22,0.0,0,0,0,11,21,33,8,0,2,0,2
